#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|  ./working/random-truncated.bin|  8.25e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.71545083|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.41220342|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.22363183|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.83437299|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.89385931|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33063999|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.54392784|  PASSED  
         diehard_dna|   0|   2097152|     100|0.20588901|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.88060521|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.12401160|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.09026823|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.10644802|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.21873953|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.97155549|  PASSED  
        diehard_sums|   0|       100|     100|0.27507560|  PASSED  
        diehard_runs|   0|    100000|     100|0.79706176|  PASSED  
        diehard_runs|   0|    100000|     100|0.60904726|  PASSED  
       diehard_craps|   0|    200000|     100|0.41765507|  PASSED  
       diehard_craps|   0|    200000|     100|0.96226745|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.22807243|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.67105358|  PASSED  
         sts_monobit|   1|    100000|     100|0.79605926|  PASSED  
            sts_runs|   2|    100000|     100|0.64846172|  PASSED  
          sts_serial|   1|    100000|     100|0.52310435|  PASSED  
          sts_serial|   2|    100000|     100|0.78398845|  PASSED  
          sts_serial|   3|    100000|     100|0.19107743|  PASSED  
          sts_serial|   3|    100000|     100|0.01175715|  PASSED  
          sts_serial|   4|    100000|     100|0.30775815|  PASSED  
          sts_serial|   4|    100000|     100|0.76788450|  PASSED  
          sts_serial|   5|    100000|     100|0.40658855|  PASSED  
          sts_serial|   5|    100000|     100|0.04297567|  PASSED  
          sts_serial|   6|    100000|     100|0.25244706|  PASSED  
          sts_serial|   6|    100000|     100|0.12210935|  PASSED  
          sts_serial|   7|    100000|     100|0.09823300|  PASSED  
          sts_serial|   7|    100000|     100|0.06862496|  PASSED  
          sts_serial|   8|    100000|     100|0.24723694|  PASSED  
          sts_serial|   8|    100000|     100|0.44426182|  PASSED  
          sts_serial|   9|    100000|     100|0.45182138|  PASSED  
          sts_serial|   9|    100000|     100|0.99127922|  PASSED  
          sts_serial|  10|    100000|     100|0.13776944|  PASSED  
          sts_serial|  10|    100000|     100|0.49935477|  PASSED  
          sts_serial|  11|    100000|     100|0.63237606|  PASSED  
          sts_serial|  11|    100000|     100|0.52849335|  PASSED  
          sts_serial|  12|    100000|     100|0.10803200|  PASSED  
          sts_serial|  12|    100000|     100|0.06316326|  PASSED  
          sts_serial|  13|    100000|     100|0.03913936|  PASSED  
          sts_serial|  13|    100000|     100|0.47110600|  PASSED  
          sts_serial|  14|    100000|     100|0.46031476|  PASSED  
          sts_serial|  14|    100000|     100|0.47421318|  PASSED  
          sts_serial|  15|    100000|     100|0.32408180|  PASSED  
          sts_serial|  15|    100000|     100|0.99261500|  PASSED  
          sts_serial|  16|    100000|     100|0.66379731|  PASSED  
          sts_serial|  16|    100000|     100|0.88711527|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.30174264|  PASSED  
