#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|  ./working/random-truncated.bin|  6.75e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.20356073|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.53294526|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.52729973|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.76918738|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.60940050|  PASSED  
        diehard_opso|   0|   2097152|     100|0.67704538|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.74304435|  PASSED  
         diehard_dna|   0|   2097152|     100|0.48935961|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.31168030|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.45036335|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.71038532|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.36073434|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.97792449|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.65760354|  PASSED  
        diehard_sums|   0|       100|     100|0.02795744|  PASSED  
        diehard_runs|   0|    100000|     100|0.33076811|  PASSED  
        diehard_runs|   0|    100000|     100|0.95541266|  PASSED  
       diehard_craps|   0|    200000|     100|0.30291732|  PASSED  
       diehard_craps|   0|    200000|     100|0.17861096|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.65345108|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20488469|  PASSED  
         sts_monobit|   1|    100000|     100|0.14669242|  PASSED  
            sts_runs|   2|    100000|     100|0.85646662|  PASSED  
          sts_serial|   1|    100000|     100|0.63769529|  PASSED  
          sts_serial|   2|    100000|     100|0.54810786|  PASSED  
          sts_serial|   3|    100000|     100|0.52878387|  PASSED  
          sts_serial|   3|    100000|     100|0.51472182|  PASSED  
          sts_serial|   4|    100000|     100|0.70168973|  PASSED  
          sts_serial|   4|    100000|     100|0.34018592|  PASSED  
          sts_serial|   5|    100000|     100|0.75757019|  PASSED  
          sts_serial|   5|    100000|     100|0.37901181|  PASSED  
          sts_serial|   6|    100000|     100|0.95061504|  PASSED  
          sts_serial|   6|    100000|     100|0.51123827|  PASSED  
          sts_serial|   7|    100000|     100|0.93636833|  PASSED  
          sts_serial|   7|    100000|     100|0.85245615|  PASSED  
          sts_serial|   8|    100000|     100|0.58821752|  PASSED  
          sts_serial|   8|    100000|     100|0.99102695|  PASSED  
          sts_serial|   9|    100000|     100|0.50896039|  PASSED  
          sts_serial|   9|    100000|     100|0.98014868|  PASSED  
          sts_serial|  10|    100000|     100|0.07136369|  PASSED  
          sts_serial|  10|    100000|     100|0.21215089|  PASSED  
          sts_serial|  11|    100000|     100|0.17980575|  PASSED  
          sts_serial|  11|    100000|     100|0.22979180|  PASSED  
          sts_serial|  12|    100000|     100|0.55026291|  PASSED  
          sts_serial|  12|    100000|     100|0.39540652|  PASSED  
          sts_serial|  13|    100000|     100|0.80971334|  PASSED  
          sts_serial|  13|    100000|     100|0.51394057|  PASSED  
          sts_serial|  14|    100000|     100|0.61663036|  PASSED  
          sts_serial|  14|    100000|     100|0.93541850|  PASSED  
          sts_serial|  15|    100000|     100|0.48382864|  PASSED  
          sts_serial|  15|    100000|     100|0.63339192|  PASSED  
          sts_serial|  16|    100000|     100|0.71513057|  PASSED  
          sts_serial|  16|    100000|     100|0.13955413|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.49339928|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.60972210|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.81761855|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.93900653|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.99840616|   WEAK   
