#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|  ./working/random-truncated.bin|  8.22e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.52456035|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.02289674|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.31367545|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.69133758|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.72410970|  PASSED  
        diehard_opso|   0|   2097152|     100|0.86568686|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.35405108|  PASSED  
         diehard_dna|   0|   2097152|     100|0.01821954|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.23544514|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.74311231|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.78081639|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.18073574|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.94551812|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.22103382|  PASSED  
        diehard_sums|   0|       100|     100|0.09768438|  PASSED  
        diehard_runs|   0|    100000|     100|0.00265011|   WEAK   
        diehard_runs|   0|    100000|     100|0.92279963|  PASSED  
       diehard_craps|   0|    200000|     100|0.62376794|  PASSED  
       diehard_craps|   0|    200000|     100|0.50513294|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.72347756|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.08578006|  PASSED  
         sts_monobit|   1|    100000|     100|0.48953249|  PASSED  
            sts_runs|   2|    100000|     100|0.14872084|  PASSED  
          sts_serial|   1|    100000|     100|0.34218103|  PASSED  
          sts_serial|   2|    100000|     100|0.84847096|  PASSED  
          sts_serial|   3|    100000|     100|0.03491326|  PASSED  
          sts_serial|   3|    100000|     100|0.08206316|  PASSED  
          sts_serial|   4|    100000|     100|0.05555095|  PASSED  
          sts_serial|   4|    100000|     100|0.76446741|  PASSED  
          sts_serial|   5|    100000|     100|0.96896241|  PASSED  
          sts_serial|   5|    100000|     100|0.18714054|  PASSED  
          sts_serial|   6|    100000|     100|0.72380910|  PASSED  
          sts_serial|   6|    100000|     100|0.82150744|  PASSED  
          sts_serial|   7|    100000|     100|0.54384056|  PASSED  
          sts_serial|   7|    100000|     100|0.84214648|  PASSED  
          sts_serial|   8|    100000|     100|0.48640156|  PASSED  
          sts_serial|   8|    100000|     100|0.75145917|  PASSED  
          sts_serial|   9|    100000|     100|0.35659901|  PASSED  
          sts_serial|   9|    100000|     100|0.21829507|  PASSED  
          sts_serial|  10|    100000|     100|0.91236573|  PASSED  
          sts_serial|  10|    100000|     100|0.48394934|  PASSED  
          sts_serial|  11|    100000|     100|0.21006609|  PASSED  
          sts_serial|  11|    100000|     100|0.98617193|  PASSED  
          sts_serial|  12|    100000|     100|0.88569892|  PASSED  
          sts_serial|  12|    100000|     100|0.78552832|  PASSED  
          sts_serial|  13|    100000|     100|0.44589864|  PASSED  
          sts_serial|  13|    100000|     100|0.81192587|  PASSED  
          sts_serial|  14|    100000|     100|0.43665252|  PASSED  
          sts_serial|  14|    100000|     100|0.05811744|  PASSED  
          sts_serial|  15|    100000|     100|0.98012617|  PASSED  
          sts_serial|  15|    100000|     100|0.12468853|  PASSED  
          sts_serial|  16|    100000|     100|0.34529109|  PASSED  
          sts_serial|  16|    100000|     100|0.56351154|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.84350106|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.97845459|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.98705626|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.98569820|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.91887495|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.74168520|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.89934509|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.18003993|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.52810709|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.35323857|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.96478632|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.12444602|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.81845634|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.81778820|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.22268622|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.36875242|  PASSED  
    rgb_permutations|   2|    100000|     100|0.07252906|  PASSED  
    rgb_permutations|   3|    100000|     100|0.71959395|  PASSED  
    rgb_permutations|   4|    100000|     100|0.12318684|  PASSED  
    rgb_permutations|   5|    100000|     100|0.62926330|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.71207238|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.70832440|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.15506776|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.39303301|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.05497133|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.23441035|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.83636796|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.04597100|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.71564144|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.85613295|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.55308141|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.77081124|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.58669771|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.08586653|  PASSED  
