#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|  ./working/random-truncated.bin|  6.78e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.10993081|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.74977207|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.76688058|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.93277296|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.07269199|  PASSED  
        diehard_opso|   0|   2097152|     100|0.07655662|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.98308534|  PASSED  
         diehard_dna|   0|   2097152|     100|0.71299437|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.86333257|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.33664900|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.96278019|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.89765247|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.66464871|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.43008014|  PASSED  
        diehard_sums|   0|       100|     100|0.14449949|  PASSED  
        diehard_runs|   0|    100000|     100|0.99061152|  PASSED  
        diehard_runs|   0|    100000|     100|0.10628333|  PASSED  
       diehard_craps|   0|    200000|     100|0.99920658|   WEAK   
       diehard_craps|   0|    200000|     100|0.99875332|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.24567996|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.90227916|  PASSED  
         sts_monobit|   1|    100000|     100|0.54592537|  PASSED  
            sts_runs|   2|    100000|     100|0.22062932|  PASSED  
          sts_serial|   1|    100000|     100|0.50677597|  PASSED  
          sts_serial|   2|    100000|     100|0.96507320|  PASSED  
          sts_serial|   3|    100000|     100|0.72357901|  PASSED  
          sts_serial|   3|    100000|     100|0.17416890|  PASSED  
          sts_serial|   4|    100000|     100|0.99058274|  PASSED  
          sts_serial|   4|    100000|     100|0.98083876|  PASSED  
          sts_serial|   5|    100000|     100|0.99443764|  PASSED  
          sts_serial|   5|    100000|     100|0.82048793|  PASSED  
          sts_serial|   6|    100000|     100|0.50081697|  PASSED  
          sts_serial|   6|    100000|     100|0.98020366|  PASSED  
          sts_serial|   7|    100000|     100|0.89348928|  PASSED  
          sts_serial|   7|    100000|     100|0.95280685|  PASSED  
          sts_serial|   8|    100000|     100|0.84399353|  PASSED  
          sts_serial|   8|    100000|     100|0.44759846|  PASSED  
          sts_serial|   9|    100000|     100|0.98715432|  PASSED  
          sts_serial|   9|    100000|     100|0.79544179|  PASSED  
          sts_serial|  10|    100000|     100|0.50352882|  PASSED  
          sts_serial|  10|    100000|     100|0.06857414|  PASSED  
          sts_serial|  11|    100000|     100|0.59460027|  PASSED  
          sts_serial|  11|    100000|     100|0.88709484|  PASSED  
          sts_serial|  12|    100000|     100|0.63680780|  PASSED  
          sts_serial|  12|    100000|     100|0.63898771|  PASSED  
          sts_serial|  13|    100000|     100|0.39744192|  PASSED  
          sts_serial|  13|    100000|     100|0.08114833|  PASSED  
          sts_serial|  14|    100000|     100|0.73390733|  PASSED  
          sts_serial|  14|    100000|     100|0.88833645|  PASSED  
          sts_serial|  15|    100000|     100|0.29489199|  PASSED  
